"ROUTE","Route of Travel","TLIST(A1)","Year","STATISTIC","Statistic Label","UNIT","VALUE"
"0","All Routes","2007","2007","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.1"
"0","All Routes","2008","2008","TMA04C1","Visitors to Ireland","Thousand","7839"
"0","All Routes","2008","2008","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.1"
"0","All Routes","2008","2008","TMA04C3","Visits Abroad by Irish Residents","Thousand","7877"
"0","All Routes","2008","2008","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"01","Air Cross Channel","1976","1976","TMA04C1","Visitors to Ireland","Thousand","515"
"01","Air Cross Channel","1976","1976","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","9.3"
"01","Air Cross Channel","1976","1976","TMA04C3","Visits Abroad by Irish Residents","Thousand","358"
"01","Air Cross Channel","1976","1976","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"01","Air Cross Channel","1977","1977","TMA04C1","Visitors to Ireland","Thousand","515"
"01","Air Cross Channel","1977","1977","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","8.3"
"01","Air Cross Channel","1977","1977","TMA04C3","Visits Abroad by Irish Residents","Thousand","362"
"01","Air Cross Channel","1977","1977","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"01","Air Cross Channel","1978","1978","TMA04C1","Visitors to Ireland","Thousand","558"
"01","Air Cross Channel","1978","1978","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.8"
"01","Air Cross Channel","1978","1978","TMA04C3","Visits Abroad by Irish Residents","Thousand","413"
"01","Air Cross Channel","1978","1978","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9"
"01","Air Cross Channel","1979","1979","TMA04C1","Visitors to Ireland","Thousand","576"
"01","Air Cross Channel","1979","1979","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.5"
"01","Air Cross Channel","1979","1979","TMA04C3","Visits Abroad by Irish Residents","Thousand","443"
"01","Air Cross Channel","1979","1979","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.9"
"01","Air Cross Channel","1980","1980","TMA04C1","Visitors to Ireland","Thousand","559"
"01","Air Cross Channel","1980","1980","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.8"
"01","Air Cross Channel","1980","1980","TMA04C3","Visits Abroad by Irish Residents","Thousand","389"
"01","Air Cross Channel","1980","1980","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.1"
"01","Air Cross Channel","1981","1981","TMA04C1","Visitors to Ireland","Thousand","538"
"01","Air Cross Channel","1981","1981","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"01","Air Cross Channel","1981","1981","TMA04C3","Visits Abroad by Irish Residents","Thousand","373"
"01","Air Cross Channel","1981","1981","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.7"
"01","Air Cross Channel","1982","1982","TMA04C1","Visitors to Ireland","Thousand","537"
"01","Air Cross Channel","1982","1982","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.6"
"01","Air Cross Channel","1982","1982","TMA04C3","Visits Abroad by Irish Residents","Thousand","335"
"01","Air Cross Channel","1982","1982","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"01","Air Cross Channel","1983","1983","TMA04C1","Visitors to Ireland","Thousand","530"
"01","Air Cross Channel","1983","1983","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.4"
"01","Air Cross Channel","1983","1983","TMA04C3","Visits Abroad by Irish Residents","Thousand","311"
"01","Air Cross Channel","1983","1983","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.6"
"01","Air Cross Channel","1984","1984","TMA04C1","Visitors to Ireland","Thousand","551"
"01","Air Cross Channel","1984","1984","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.6"
"01","Air Cross Channel","1984","1984","TMA04C3","Visits Abroad by Irish Residents","Thousand","319"
"01","Air Cross Channel","1984","1984","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","7.4"
"01","Air Cross Channel","1985","1985","TMA04C1","Visitors to Ireland","Thousand","551"
"01","Air Cross Channel","1985","1985","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.9"
"01","Air Cross Channel","1985","1985","TMA04C3","Visits Abroad by Irish Residents","Thousand","364"
"01","Air Cross Channel","1985","1985","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8"
"01","Air Cross Channel","1986","1986","TMA04C1","Visitors to Ireland","Thousand","578"
"01","Air Cross Channel","1986","1986","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7"
"01","Air Cross Channel","1986","1986","TMA04C3","Visits Abroad by Irish Residents","Thousand","462"
"01","Air Cross Channel","1986","1986","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.6"
"01","Air Cross Channel","1987","1987","TMA04C1","Visitors to Ireland","Thousand","768"
"01","Air Cross Channel","1987","1987","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.2"
"01","Air Cross Channel","1987","1987","TMA04C3","Visits Abroad by Irish Residents","Thousand","596"
"01","Air Cross Channel","1987","1987","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9"
"01","Air Cross Channel","1988","1988","TMA04C1","Visitors to Ireland","Thousand","998"
"01","Air Cross Channel","1988","1988","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","6.9"
"01","Air Cross Channel","1988","1988","TMA04C3","Visits Abroad by Irish Residents","Thousand","762"
"01","Air Cross Channel","1988","1988","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.2"
"01","Air Cross Channel","1989","1989","TMA04C1","Visitors to Ireland","Thousand","1207"
"01","Air Cross Channel","1989","1989","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.4"
"01","Air Cross Channel","1989","1989","TMA04C3","Visits Abroad by Irish Residents","Thousand","832"
"01","Air Cross Channel","1989","1989","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9"
"01","Air Cross Channel","1990","1990","TMA04C1","Visitors to Ireland","Thousand","1352"
"01","Air Cross Channel","1990","1990","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7"
"01","Air Cross Channel","1990","1990","TMA04C3","Visits Abroad by Irish Residents","Thousand","859"
"01","Air Cross Channel","1990","1990","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","9.1"
"01","Air Cross Channel","1991","1991","TMA04C1","Visitors to Ireland","Thousand","1198"
"01","Air Cross Channel","1991","1991","TMA04C2","Average Length of Stay by Visitors to Ireland","Nights","7.3"
"01","Air Cross Channel","1991","1991","TMA04C3","Visits Abroad by Irish Residents","Thousand","770"
"01","Air Cross Channel","1991","1991","TMA04C4","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"01","Air Cross Channel","1992","1992","TMA04C1","Visitors to Ireland","Thousand","1273"
