"ROUTE","Route of Travel","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"0","All Routes","20062","2006Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1826"
"0","All Routes","20063","2006Q3","TMQ01C1","Visitors to Ireland","Thousand","2506"
"0","All Routes","20063","2006Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","2146"
"0","All Routes","20064","2006Q4","TMQ01C1","Visitors to Ireland","Thousand","1701"
"0","All Routes","20064","2006Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1530"
"0","All Routes","20071","2007Q1","TMQ01C1","Visitors to Ireland","Thousand","1478"
"0","All Routes","20071","2007Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1575"
"0","All Routes","20072","2007Q2","TMQ01C1","Visitors to Ireland","Thousand","2138"
"0","All Routes","20072","2007Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","2048"
"0","All Routes","20073","2007Q3","TMQ01C1","Visitors to Ireland","Thousand","2645"
"0","All Routes","20073","2007Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","2356"
"0","All Routes","20074","2007Q4","TMQ01C1","Visitors to Ireland","Thousand","1756"
"0","All Routes","20074","2007Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1734"
"0","All Routes","20081","2008Q1","TMQ01C1","Visitors to Ireland","Thousand","1542"
"0","All Routes","20081","2008Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1762"
"0","All Routes","20082","2008Q2","TMQ01C1","Visitors to Ireland","Thousand","2159"
"0","All Routes","20082","2008Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","2051"
"0","All Routes","20083","2008Q3","TMQ01C1","Visitors to Ireland","Thousand","2472"
"0","All Routes","20083","2008Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","2428"
"0","All Routes","20084","2008Q4","TMQ01C1","Visitors to Ireland","Thousand","1665"
"0","All Routes","20084","2008Q4","TMQ01C2","Visits Abroad by Irish Residents","Thousand","1636"
"01","Air Cross Channel","19851","1985Q1","TMQ01C1","Visitors to Ireland","Thousand","110"
"01","Air Cross Channel","19851","1985Q1","TMQ01C2","Visits Abroad by Irish Residents","Thousand","65"
"01","Air Cross Channel","19852","1985Q2","TMQ01C1","Visitors to Ireland","Thousand","142"
"01","Air Cross Channel","19852","1985Q2","TMQ01C2","Visits Abroad by Irish Residents","Thousand","91"
"01","Air Cross Channel","19853","1985Q3","TMQ01C1","Visitors to Ireland","Thousand","186"
"01","Air Cross Channel","19853","1985Q3","TMQ01C2","Visits Abroad by Irish Residents","Thousand","113"
